A new study created in memory with name: no-name-be921633-0fb6-4f36-a996-1d322f6154d2
From /home/latlab/anaconda3/envs/tf-gpu/lib/python3.8/site-packages/tensorflow/python/ops/resource_variable_ops.py:1813: calling BaseResourceVariable.__init__ (from tensorflow.python.ops.resource_variable_ops) with constraint is deprecated and will be removed in a future version.
Instructions for updating:
If using Keras pass *_constraint arguments to layers.
Trial 0 finished with value: 0.34058601409196854 and parameters: {'batch_size': 256, 'filters': 7, 'kernel_size': 3, 'kernel_regularizer': 'l1', 'bias_regularizer': None, 'activation': 'sigmoid', 'activation_dense': 'sigmoid', 'kernel_regularizer_dense1': None, 'bias_regularizer_dense1': 'l1', 'kernel_regularizer_dense2': 'l1', 'bias_regularizer_dense2': 'l1_l2', 'optimizer': 'adam'}. Best is trial 0 with value: 0.34058601409196854.
Trial 13 finished with value: 0.7113206386566162 and parameters: {'batch_size': 128, 'filters': 9, 'kernel_size': 5, 'kernel_regularizer': None, 'bias_regularizer': None, 'activation': 'relu', 'activation_dense': 'swish', 'kernel_regularizer_dense1': None, 'bias_regularizer_dense1': 'l1_l2', 'kernel_regularizer_dense2': 'l1', 'bias_regularizer_dense2': 'l1_l2', 'optimizer': 'nadam'}. Best is trial 4 with value: 0.9448192715644836.
Trial 14 finished with value: 0.7986215353012085 and parameters: {'batch_size': 256, 'filters': 15, 'kernel_size': 5, 'kernel_regularizer': None, 'bias_regularizer': None, 'activation': 'relu', 'activation_dense': 'swish', 'kernel_regularizer_dense1': 'l1', 'bias_regularizer_dense1': 'l1_l2', 'kernel_regularizer_dense2': None, 'bias_regularizer_dense2': 'l1_l2', 'optimizer': 'nadam'}. Best is trial 4 with value: 0.9448192715644836.
Trial 15 finished with value: 0.61353999376297 and parameters: {'batch_size': 128, 'filters': 11, 'kernel_size': 5, 'kernel_regularizer': 'l1_l2', 'bias_regularizer': 'l1_l2', 'activation': 'relu', 'activation_dense': 'swish', 'kernel_regularizer_dense1': 'l1_l2', 'bias_regularizer_dense1': 'l1_l2', 'kernel_regularizer_dense2': None, 'bias_regularizer_dense2': 'l1_l2', 'optimizer': 'nadam'}. Best is trial 4 with value: 0.9448192715644836.
Trial 16 finished with value: 0.3774322122335434 and parameters: {'batch_size': 128, 'filters': 8, 'kernel_size': 5, 'kernel_regularizer': None, 'bias_regularizer': None, 'activation': 'sigmoid', 'activation_dense': 'relu', 'kernel_regularizer_dense1': 'l1_l2', 'bias_regularizer_dense1': 'l1_l2', 'kernel_regularizer_dense2': None, 'bias_regularizer_dense2': 'l1_l2', 'optimizer': 'adam'}. Best is trial 4 with value: 0.9448192715644836.
Trial 17 finished with value: 0.5692247301340103 and parameters: {'batch_size': 128, 'filters': 13, 'kernel_size': 4, 'kernel_regularizer': None, 'bias_regularizer': None, 'activation': 'swish', 'activation_dense': 'swish', 'kernel_regularizer_dense1': 'l1_l2', 'bias_regularizer_dense1': 'l1_l2', 'kernel_regularizer_dense2': None, 'bias_regularizer_dense2': 'l1_l2', 'optimizer': 'nadam'}. Best is trial 4 with value: 0.9448192715644836.
Trial 18 finished with value: 0.9138382375240326 and parameters: {'batch_size': 128, 'filters': 11, 'kernel_size': 5, 'kernel_regularizer': None, 'bias_regularizer': 'l1', 'activation': 'relu', 'activation_dense': 'swish', 'kernel_regularizer_dense1': 'l1_l2', 'bias_regularizer_dense1': 'l1', 'kernel_regularizer_dense2': None, 'bias_regularizer_dense2': 'l1', 'optimizer': 'nadam'}. Best is trial 4 with value: 0.9448192715644836.
Trial 19 finished with value: 0.37363865971565247 and parameters: {'batch_size': 128, 'filters': 10, 'kernel_size': 5, 'kernel_regularizer': None, 'bias_regularizer': None, 'activation': 'relu', 'activation_dense': 'sigmoid', 'kernel_regularizer_dense1': 'l1', 'bias_regularizer_dense1': 'l1_l2', 'kernel_regularizer_dense2': None, 'bias_regularizer_dense2': 'l1_l2', 'optimizer': 'adam'}. Best is trial 4 with value: 0.9448192715644836.
Trial 20 finished with value: 0.35509200394153595 and parameters: {'batch_size': 128, 'filters': 5, 'kernel_size': 3, 'kernel_regularizer': None, 'bias_regularizer': None, 'activation': 'relu', 'activation_dense': 'relu', 'kernel_regularizer_dense1': 'l1', 'bias_regularizer_dense1': 'l1_l2', 'kernel_regularizer_dense2': None, 'bias_regularizer_dense2': 'l1_l2', 'optimizer': 'nadam'}. Best is trial 4 with value: 0.9448192715644836.
Trial 21 finished with value: 0.4056142792105675 and parameters: {'batch_size': 128, 'filters': 10, 'kernel_size': 5, 'kernel_regularizer': None, 'bias_regularizer': 'l1', 'activation': 'sigmoid', 'activation_dense': 'swish', 'kernel_regularizer_dense1': 'l1', 'bias_regularizer_dense1': 'l1_l2', 'kernel_regularizer_dense2': None, 'bias_regularizer_dense2': 'l1_l2', 'optimizer': 'nadam'}. Best is trial 4 with value: 0.9448192715644836.
Trial 22 finished with value: 0.923452228307724 and parameters: {'batch_size': 128, 'filters': 12, 'kernel_size': 3, 'kernel_regularizer': None, 'bias_regularizer': 'l1', 'activation': 'relu', 'activation_dense': 'swish', 'kernel_regularizer_dense1': 'l1_l2', 'bias_regularizer_dense1': 'l1', 'kernel_regularizer_dense2': None, 'bias_regularizer_dense2': 'l1', 'optimizer': 'nadam'}. Best is trial 4 with value: 0.9448192715644836.
Trial 23 finished with value: 0.37167732417583466 and parameters: {'batch_size': 128, 'filters': 14, 'kernel_size': 3, 'kernel_regularizer': None, 'bias_regularizer': 'l1', 'activation': 'relu', 'activation_dense': 'sigmoid', 'kernel_regularizer_dense1': None, 'bias_regularizer_dense1': 'l1', 'kernel_regularizer_dense2': None, 'bias_regularizer_dense2': 'l1', 'optimizer': 'nadam'}. Best is trial 4 with value: 0.9448192715644836.
Trial 24 finished with value: 0.5160410106182098 and parameters: {'batch_size': 128, 'filters': 13, 'kernel_size': 5, 'kernel_regularizer': None, 'bias_regularizer': None, 'activation': 'relu', 'activation_dense': 'swish', 'kernel_regularizer_dense1': 'l1_l2', 'bias_regularizer_dense1': 'l1_l2', 'kernel_regularizer_dense2': None, 'bias_regularizer_dense2': None, 'optimizer': 'adam'}. Best is trial 4 with value: 0.9448192715644836.
Trial 25 finished with value: 0.7162896394729614 and parameters: {'batch_size': 128, 'filters': 9, 'kernel_size': 5, 'kernel_regularizer': None, 'bias_regularizer': None, 'activation': 'relu', 'activation_dense': 'swish', 'kernel_regularizer_dense1': 'l1', 'bias_regularizer_dense1': None, 'kernel_regularizer_dense2': None, 'bias_regularizer_dense2': 'l1_l2', 'optimizer': 'nadam'}. Best is trial 4 with value: 0.9448192715644836.
Trial 26 finished with value: 0.814230740070343 and parameters: {'batch_size': 128, 'filters': 14, 'kernel_size': 3, 'kernel_regularizer': None, 'bias_regularizer': 'l1', 'activation': 'relu', 'activation_dense': 'swish', 'kernel_regularizer_dense1': 'l1_l2', 'bias_regularizer_dense1': 'l1', 'kernel_regularizer_dense2': 'l1_l2', 'bias_regularizer_dense2': None, 'optimizer': 'nadam'}. Best is trial 4 with value: 0.9448192715644836.
Trial 27 finished with value: 0.3540741875767708 and parameters: {'batch_size': 128, 'filters': 11, 'kernel_size': 3, 'kernel_regularizer': None, 'bias_regularizer': 'l1', 'activation': 'relu', 'activation_dense': 'relu', 'kernel_regularizer_dense1': 'l1_l2', 'bias_regularizer_dense1': 'l1_l2', 'kernel_regularizer_dense2': None, 'bias_regularizer_dense2': 'l1', 'optimizer': 'nadam'}. Best is trial 4 with value: 0.9448192715644836.
Trial 28 finished with value: 0.9003049433231354 and parameters: {'batch_size': 128, 'filters': 14, 'kernel_size': 3, 'kernel_regularizer': 'l1', 'bias_regularizer': 'l1', 'activation': 'relu', 'activation_dense': 'swish', 'kernel_regularizer_dense1': 'l1_l2', 'bias_regularizer_dense1': 'l1', 'kernel_regularizer_dense2': 'l1', 'bias_regularizer_dense2': 'l1', 'optimizer': 'nadam'}. Best is trial 4 with value: 0.9448192715644836.
Trial 29 finished with value: 0.3901587501168251 and parameters: {'batch_size': 128, 'filters': 13, 'kernel_size': 5, 'kernel_regularizer': 'l1', 'bias_regularizer': None, 'activation': 'relu', 'activation_dense': 'relu', 'kernel_regularizer_dense1': 'l1_l2', 'bias_regularizer_dense1': 'l1_l2', 'kernel_regularizer_dense2': None, 'bias_regularizer_dense2': 'l1_l2', 'optimizer': 'nadam'}. Best is trial 4 with value: 0.9448192715644836.
Trial 30 finished with value: 0.8011352717876434 and parameters: {'batch_size': 256, 'filters': 13, 'kernel_size': 3, 'kernel_regularizer': None, 'bias_regularizer': 'l1', 'activation': 'relu', 'activation_dense': 'swish', 'kernel_regularizer_dense1': 'l1_l2', 'bias_regularizer_dense1': 'l1', 'kernel_regularizer_dense2': None, 'bias_regularizer_dense2': 'l1', 'optimizer': 'nadam'}. Best is trial 4 with value: 0.9448192715644836.
Trial 31 finished with value: 0.5868976414203644 and parameters: {'batch_size': 128, 'filters': 12, 'kernel_size': 5, 'kernel_regularizer': 'l1_l2', 'bias_regularizer': 'l1', 'activation': 'relu', 'activation_dense': 'swish', 'kernel_regularizer_dense1': 'l1_l2', 'bias_regularizer_dense1': 'l1', 'kernel_regularizer_dense2': None, 'bias_regularizer_dense2': 'l1', 'optimizer': 'nadam'}. Best is trial 4 with value: 0.9448192715644836.
Trial 32 finished with value: 0.9387711584568024 and parameters: {'batch_size': 128, 'filters': 14, 'kernel_size': 3, 'kernel_regularizer': None, 'bias_regularizer': None, 'activation': 'relu', 'activation_dense': 'swish', 'kernel_regularizer_dense1': 'l1_l2', 'bias_regularizer_dense1': 'l1', 'kernel_regularizer_dense2': None, 'bias_regularizer_dense2': 'l1_l2', 'optimizer': 'nadam'}. Best is trial 4 with value: 0.9448192715644836.
Trial 33 finished with value: 0.4883325695991516 and parameters: {'batch_size': 256, 'filters': 8, 'kernel_size': 3, 'kernel_regularizer': None, 'bias_regularizer': None, 'activation': 'relu', 'activation_dense': 'swish', 'kernel_regularizer_dense1': 'l1_l2', 'bias_regularizer_dense1': 'l1_l2', 'kernel_regularizer_dense2': None, 'bias_regularizer_dense2': 'l1_l2', 'optimizer': 'nadam'}. Best is trial 4 with value: 0.9448192715644836.
Trial 34 finished with value: 0.5930345505475998 and parameters: {'batch_size': 128, 'filters': 14, 'kernel_size': 3, 'kernel_regularizer': None, 'bias_regularizer': None, 'activation': 'relu', 'activation_dense': 'swish', 'kernel_regularizer_dense1': 'l1_l2', 'bias_regularizer_dense1': 'l1_l2', 'kernel_regularizer_dense2': 'l1', 'bias_regularizer_dense2': 'l1_l2', 'optimizer': 'nadam'}. Best is trial 4 with value: 0.9448192715644836.
Trial 35 finished with value: 0.9259215295314789 and parameters: {'batch_size': 128, 'filters': 11, 'kernel_size': 3, 'kernel_regularizer': None, 'bias_regularizer': 'l1_l2', 'activation': 'relu', 'activation_dense': 'swish', 'kernel_regularizer_dense1': 'l1', 'bias_regularizer_dense1': 'l1_l2', 'kernel_regularizer_dense2': None, 'bias_regularizer_dense2': None, 'optimizer': 'nadam'}. Best is trial 4 with value: 0.9448192715644836.
Trial 36 finished with value: 0.9504724144935608 and parameters: {'batch_size': 128, 'filters': 13, 'kernel_size': 3, 'kernel_regularizer': None, 'bias_regularizer': 'l1_l2', 'activation': 'relu', 'activation_dense': 'swish', 'kernel_regularizer_dense1': 'l1', 'bias_regularizer_dense1': 'l1', 'kernel_regularizer_dense2': None, 'bias_regularizer_dense2': None, 'optimizer': 'nadam'}. Best is trial 36 with value: 0.9504724144935608.
Trial 37 finished with value: 0.8578860759735107 and parameters: {'batch_size': 128, 'filters': 15, 'kernel_size': 3, 'kernel_regularizer': 'l1', 'bias_regularizer': 'l1_l2', 'activation': 'relu', 'activation_dense': 'swish', 'kernel_regularizer_dense1': None, 'bias_regularizer_dense1': 'l1', 'kernel_regularizer_dense2': None, 'bias_regularizer_dense2': None, 'optimizer': 'nadam'}. Best is trial 36 with value: 0.9504724144935608.
Trial 38 finished with value: 0.37978868931531906 and parameters: {'batch_size': 128, 'filters': 14, 'kernel_size': 5, 'kernel_regularizer': None, 'bias_regularizer': 'l1_l2', 'activation': 'relu', 'activation_dense': 'sigmoid', 'kernel_regularizer_dense1': 'l1', 'bias_regularizer_dense1': 'l1', 'kernel_regularizer_dense2': None, 'bias_regularizer_dense2': None, 'optimizer': 'nadam'}. Best is trial 36 with value: 0.9504724144935608.
Trial 39 finished with value: 0.6186318248510361 and parameters: {'batch_size': 128, 'filters': 11, 'kernel_size': 5, 'kernel_regularizer': None, 'bias_regularizer': None, 'activation': 'relu', 'activation_dense': 'swish', 'kernel_regularizer_dense1': 'l1_l2', 'bias_regularizer_dense1': 'l1_l2', 'kernel_regularizer_dense2': None, 'bias_regularizer_dense2': 'l1_l2', 'optimizer': 'nadam'}. Best is trial 36 with value: 0.9504724144935608.
Trial 40 finished with value: 0.4914412125945091 and parameters: {'batch_size': 128, 'filters': 15, 'kernel_size': 3, 'kernel_regularizer': None, 'bias_regularizer': 'l1_l2', 'activation': 'sigmoid', 'activation_dense': 'swish', 'kernel_regularizer_dense1': 'l1', 'bias_regularizer_dense1': 'l1', 'kernel_regularizer_dense2': None, 'bias_regularizer_dense2': None, 'optimizer': 'nadam'}. Best is trial 36 with value: 0.9504724144935608.
Trial 41 finished with value: 0.9369745850563049 and parameters: {'batch_size': 128, 'filters': 10, 'kernel_size': 3, 'kernel_regularizer': None, 'bias_regularizer': 'l1_l2', 'activation': 'relu', 'activation_dense': 'swish', 'kernel_regularizer_dense1': 'l1', 'bias_regularizer_dense1': 'l1_l2', 'kernel_regularizer_dense2': None, 'bias_regularizer_dense2': None, 'optimizer': 'nadam'}. Best is trial 36 with value: 0.9504724144935608.
Trial 42 finished with value: 0.9363945126533508 and parameters: {'batch_size': 128, 'filters': 14, 'kernel_size': 3, 'kernel_regularizer': None, 'bias_regularizer': None, 'activation': 'relu', 'activation_dense': 'relu', 'kernel_regularizer_dense1': 'l1', 'bias_regularizer_dense1': 'l1', 'kernel_regularizer_dense2': None, 'bias_regularizer_dense2': None, 'optimizer': 'nadam'}. Best is trial 36 with value: 0.9504724144935608.
Trial 43 finished with value: 0.4702894240617752 and parameters: {'batch_size': 128, 'filters': 15, 'kernel_size': 3, 'kernel_regularizer': 'l1', 'bias_regularizer': None, 'activation': 'relu', 'activation_dense': 'swish', 'kernel_regularizer_dense1': 'l1_l2', 'bias_regularizer_dense1': 'l1', 'kernel_regularizer_dense2': None, 'bias_regularizer_dense2': 'l1_l2', 'optimizer': 'adam'}. Best is trial 36 with value: 0.9504724144935608.
Trial 44 finished with value: 0.6211712211370468 and parameters: {'batch_size': 128, 'filters': 7, 'kernel_size': 4, 'kernel_regularizer': None, 'bias_regularizer': 'l1_l2', 'activation': 'relu', 'activation_dense': 'swish', 'kernel_regularizer_dense1': None, 'bias_regularizer_dense1': 'l1_l2', 'kernel_regularizer_dense2': None, 'bias_regularizer_dense2': 'l1', 'optimizer': 'nadam'}. Best is trial 36 with value: 0.9504724144935608.
Trial 45 finished with value: 0.9502391517162323 and parameters: {'batch_size': 128, 'filters': 14, 'kernel_size': 3, 'kernel_regularizer': None, 'bias_regularizer': None, 'activation': 'relu', 'activation_dense': 'swish', 'kernel_regularizer_dense1': None, 'bias_regularizer_dense1': 'l1', 'kernel_regularizer_dense2': None, 'bias_regularizer_dense2': 'l1_l2', 'optimizer': 'nadam'}. Best is trial 36 with value: 0.9504724144935608.
Trial 46 finished with value: 0.7002859115600586 and parameters: {'batch_size': 128, 'filters': 11, 'kernel_size': 3, 'kernel_regularizer': None, 'bias_regularizer': None, 'activation': 'sigmoid', 'activation_dense': 'sigmoid', 'kernel_regularizer_dense1': 'l1_l2', 'bias_regularizer_dense1': 'l1', 'kernel_regularizer_dense2': None, 'bias_regularizer_dense2': 'l1_l2', 'optimizer': 'nadam'}. Best is trial 36 with value: 0.9504724144935608.
Trial 47 finished with value: 0.9427297413349152 and parameters: {'batch_size': 128, 'filters': 13, 'kernel_size': 3, 'kernel_regularizer': None, 'bias_regularizer': None, 'activation': 'relu', 'activation_dense': 'swish', 'kernel_regularizer_dense1': None, 'bias_regularizer_dense1': 'l1', 'kernel_regularizer_dense2': 'l1', 'bias_regularizer_dense2': None, 'optimizer': 'nadam'}. Best is trial 36 with value: 0.9504724144935608.
Trial 48 finished with value: 0.5978338718414307 and parameters: {'batch_size': 128, 'filters': 14, 'kernel_size': 3, 'kernel_regularizer': None, 'bias_regularizer': None, 'activation': 'relu', 'activation_dense': 'swish', 'kernel_regularizer_dense1': None, 'bias_regularizer_dense1': 'l1', 'kernel_regularizer_dense2': None, 'bias_regularizer_dense2': 'l1_l2', 'optimizer': 'nadam'}. Best is trial 36 with value: 0.9504724144935608.
Trial 49 finished with value: 0.9413711130619049 and parameters: {'batch_size': 256, 'filters': 13, 'kernel_size': 3, 'kernel_regularizer': None, 'bias_regularizer': None, 'activation': 'relu', 'activation_dense': 'swish', 'kernel_regularizer_dense1': None, 'bias_regularizer_dense1': 'l1', 'kernel_regularizer_dense2': 'l1', 'bias_regularizer_dense2': None, 'optimizer': 'nadam'}. Best is trial 36 with value: 0.9504724144935608.
Trial 50 finished with value: 0.94021075963974 and parameters: {'batch_size': 256, 'filters': 14, 'kernel_size': 3, 'kernel_regularizer': None, 'bias_regularizer': None, 'activation': 'relu', 'activation_dense': 'swish', 'kernel_regularizer_dense1': None, 'bias_regularizer_dense1': 'l1_l2', 'kernel_regularizer_dense2': 'l1', 'bias_regularizer_dense2': None, 'optimizer': 'nadam'}. Best is trial 36 with value: 0.9504724144935608.
Trial 51 finished with value: 0.6282642930746078 and parameters: {'batch_size': 256, 'filters': 12, 'kernel_size': 3, 'kernel_regularizer': None, 'bias_regularizer': None, 'activation': 'relu', 'activation_dense': 'swish', 'kernel_regularizer_dense1': None, 'bias_regularizer_dense1': 'l1_l2', 'kernel_regularizer_dense2': 'l1', 'bias_regularizer_dense2': None, 'optimizer': 'nadam'}. Best is trial 36 with value: 0.9504724144935608.
Trial 52 finished with value: 0.4113527089357376 and parameters: {'batch_size': 128, 'filters': 13, 'kernel_size': 3, 'kernel_regularizer': None, 'bias_regularizer': None, 'activation': 'relu', 'activation_dense': 'sigmoid', 'kernel_regularizer_dense1': None, 'bias_regularizer_dense1': 'l1', 'kernel_regularizer_dense2': 'l1', 'bias_regularizer_dense2': None, 'optimizer': 'nadam'}. Best is trial 36 with value: 0.9504724144935608.
Trial 53 finished with value: 0.5514765679836273 and parameters: {'batch_size': 256, 'filters': 14, 'kernel_size': 3, 'kernel_regularizer': None, 'bias_regularizer': None, 'activation': 'sigmoid', 'activation_dense': 'relu', 'kernel_regularizer_dense1': None, 'bias_regularizer_dense1': 'l1', 'kernel_regularizer_dense2': 'l1', 'bias_regularizer_dense2': None, 'optimizer': 'adam'}. Best is trial 36 with value: 0.9504724144935608.
Trial 54 finished with value: 0.9326288402080536 and parameters: {'batch_size': 256, 'filters': 15, 'kernel_size': 4, 'kernel_regularizer': None, 'bias_regularizer': None, 'activation': 'relu', 'activation_dense': 'swish', 'kernel_regularizer_dense1': 'l1_l2', 'bias_regularizer_dense1': 'l1', 'kernel_regularizer_dense2': 'l1', 'bias_regularizer_dense2': None, 'optimizer': 'nadam'}. Best is trial 36 with value: 0.9504724144935608.
Trial 55 finished with value: 0.6171703338623047 and parameters: {'batch_size': 128, 'filters': 12, 'kernel_size': 3, 'kernel_regularizer': 'l1', 'bias_regularizer': None, 'activation': 'relu', 'activation_dense': 'swish', 'kernel_regularizer_dense1': 'l1', 'bias_regularizer_dense1': 'l1', 'kernel_regularizer_dense2': 'l1', 'bias_regularizer_dense2': None, 'optimizer': 'nadam'}. Best is trial 36 with value: 0.9504724144935608.
Trial 56 finished with value: 0.9102292060852051 and parameters: {'batch_size': 128, 'filters': 11, 'kernel_size': 3, 'kernel_regularizer': None, 'bias_regularizer': 'l1_l2', 'activation': 'swish', 'activation_dense': 'swish', 'kernel_regularizer_dense1': None, 'bias_regularizer_dense1': 'l1', 'kernel_regularizer_dense2': 'l1', 'bias_regularizer_dense2': None, 'optimizer': 'nadam'}. Best is trial 36 with value: 0.9504724144935608.
Trial 57 finished with value: 0.6171703487634659 and parameters: {'batch_size': 128, 'filters': 11, 'kernel_size': 3, 'kernel_regularizer': None, 'bias_regularizer': 'l1', 'activation': 'sigmoid', 'activation_dense': 'swish', 'kernel_regularizer_dense1': None, 'bias_regularizer_dense1': 'l1', 'kernel_regularizer_dense2': 'l1', 'bias_regularizer_dense2': 'l1_l2', 'optimizer': 'nadam'}. Best is trial 36 with value: 0.9504724144935608.
Trial 58 finished with value: 0.9352751672267914 and parameters: {'batch_size': 256, 'filters': 12, 'kernel_size': 3, 'kernel_regularizer': None, 'bias_regularizer': None, 'activation': 'swish', 'activation_dense': 'swish', 'kernel_regularizer_dense1': None, 'bias_regularizer_dense1': 'l1', 'kernel_regularizer_dense2': 'l1_l2', 'bias_regularizer_dense2': None, 'optimizer': 'nadam'}. Best is trial 36 with value: 0.9504724144935608.
Trial 59 finished with value: 0.9381291568279266 and parameters: {'batch_size': 128, 'filters': 8, 'kernel_size': 5, 'kernel_regularizer': None, 'bias_regularizer': None, 'activation': 'relu', 'activation_dense': 'swish', 'kernel_regularizer_dense1': 'l1', 'bias_regularizer_dense1': 'l1_l2', 'kernel_regularizer_dense2': None, 'bias_regularizer_dense2': 'l1', 'optimizer': 'nadam'}. Best is trial 36 with value: 0.9504724144935608.
