A new study created in memory with name: no-name-a691faf3-f489-4396-8008-2bfb1b85da25
From /home/latlab/anaconda3/envs/tf-gpu/lib/python3.8/site-packages/tensorflow/python/ops/resource_variable_ops.py:1813: calling BaseResourceVariable.__init__ (from tensorflow.python.ops.resource_variable_ops) with constraint is deprecated and will be removed in a future version.
Instructions for updating:
If using Keras pass *_constraint arguments to layers.
Trial 0 finished with value: 0.3347516506910324 and parameters: {'batch_size': 256, 'filters': 7, 'kernel_size': 3, 'kernel_regularizer': 'l1', 'bias_regularizer': None, 'activation': 'sigmoid', 'activation_dense': 'sigmoid', 'kernel_regularizer_dense1': None, 'bias_regularizer_dense1': 'l1', 'kernel_regularizer_dense2': 'l1', 'bias_regularizer_dense2': 'l1_l2', 'optimizer': 'adam'}. Best is trial 0 with value: 0.3347516506910324.
Trial 11 finished with value: 0.5015960782766342 and parameters: {'batch_size': 128, 'filters': 12, 'kernel_size': 3, 'kernel_regularizer': None, 'bias_regularizer': 'l1', 'activation': 'swish', 'activation_dense': 'relu', 'kernel_regularizer_dense1': 'l1_l2', 'bias_regularizer_dense1': None, 'kernel_regularizer_dense2': 'l1', 'bias_regularizer_dense2': None, 'optimizer': 'nadam'}. Best is trial 4 with value: 0.8133485019207001.
Trial 12 finished with value: 0.9240326285362244 and parameters: {'batch_size': 128, 'filters': 12, 'kernel_size': 5, 'kernel_regularizer': None, 'bias_regularizer': None, 'activation': 'relu', 'activation_dense': 'swish', 'kernel_regularizer_dense1': 'l1_l2', 'bias_regularizer_dense1': 'l1_l2', 'kernel_regularizer_dense2': None, 'bias_regularizer_dense2': 'l1_l2', 'optimizer': 'nadam'}. Best is trial 12 with value: 0.9240326285362244.
Trial 13 finished with value: 0.659642681479454 and parameters: {'batch_size': 128, 'filters': 9, 'kernel_size': 5, 'kernel_regularizer': None, 'bias_regularizer': None, 'activation': 'relu', 'activation_dense': 'swish', 'kernel_regularizer_dense1': None, 'bias_regularizer_dense1': 'l1_l2', 'kernel_regularizer_dense2': 'l1', 'bias_regularizer_dense2': 'l1_l2', 'optimizer': 'nadam'}. Best is trial 12 with value: 0.9240326285362244.
Trial 14 finished with value: 0.5470187813043594 and parameters: {'batch_size': 256, 'filters': 15, 'kernel_size': 5, 'kernel_regularizer': None, 'bias_regularizer': None, 'activation': 'relu', 'activation_dense': 'swish', 'kernel_regularizer_dense1': 'l1', 'bias_regularizer_dense1': 'l1_l2', 'kernel_regularizer_dense2': None, 'bias_regularizer_dense2': 'l1_l2', 'optimizer': 'nadam'}. Best is trial 12 with value: 0.9240326285362244.
Trial 15 finished with value: 0.4252660870552063 and parameters: {'batch_size': 128, 'filters': 11, 'kernel_size': 5, 'kernel_regularizer': 'l1_l2', 'bias_regularizer': 'l1_l2', 'activation': 'relu', 'activation_dense': 'swish', 'kernel_regularizer_dense1': 'l1_l2', 'bias_regularizer_dense1': 'l1_l2', 'kernel_regularizer_dense2': None, 'bias_regularizer_dense2': 'l1_l2', 'optimizer': 'nadam'}. Best is trial 12 with value: 0.9240326285362244.
Trial 16 finished with value: 0.36253953725099564 and parameters: {'batch_size': 128, 'filters': 8, 'kernel_size': 5, 'kernel_regularizer': None, 'bias_regularizer': None, 'activation': 'sigmoid', 'activation_dense': 'relu', 'kernel_regularizer_dense1': 'l1_l2', 'bias_regularizer_dense1': 'l1_l2', 'kernel_regularizer_dense2': None, 'bias_regularizer_dense2': 'l1_l2', 'optimizer': 'adam'}. Best is trial 12 with value: 0.9240326285362244.
Trial 17 finished with value: 0.6376645267009735 and parameters: {'batch_size': 128, 'filters': 13, 'kernel_size': 4, 'kernel_regularizer': None, 'bias_regularizer': None, 'activation': 'swish', 'activation_dense': 'swish', 'kernel_regularizer_dense1': 'l1_l2', 'bias_regularizer_dense1': 'l1_l2', 'kernel_regularizer_dense2': None, 'bias_regularizer_dense2': 'l1_l2', 'optimizer': 'nadam'}. Best is trial 12 with value: 0.9240326285362244.
Trial 18 finished with value: 0.9210755228996277 and parameters: {'batch_size': 128, 'filters': 11, 'kernel_size': 5, 'kernel_regularizer': None, 'bias_regularizer': 'l1', 'activation': 'relu', 'activation_dense': 'swish', 'kernel_regularizer_dense1': 'l1_l2', 'bias_regularizer_dense1': 'l1', 'kernel_regularizer_dense2': None, 'bias_regularizer_dense2': 'l1', 'optimizer': 'nadam'}. Best is trial 12 with value: 0.9240326285362244.
Trial 19 finished with value: 0.9225947558879852 and parameters: {'batch_size': 128, 'filters': 12, 'kernel_size': 5, 'kernel_regularizer': None, 'bias_regularizer': 'l1', 'activation': 'relu', 'activation_dense': 'swish', 'kernel_regularizer_dense1': 'l1_l2', 'bias_regularizer_dense1': 'l1', 'kernel_regularizer_dense2': None, 'bias_regularizer_dense2': 'l1', 'optimizer': 'adam'}. Best is trial 12 with value: 0.9240326285362244.
Trial 20 finished with value: 0.8886478543281555 and parameters: {'batch_size': 128, 'filters': 12, 'kernel_size': 3, 'kernel_regularizer': None, 'bias_regularizer': 'l1_l2', 'activation': 'relu', 'activation_dense': 'swish', 'kernel_regularizer_dense1': None, 'bias_regularizer_dense1': 'l1', 'kernel_regularizer_dense2': None, 'bias_regularizer_dense2': 'l1', 'optimizer': 'adam'}. Best is trial 12 with value: 0.9240326285362244.
Trial 21 finished with value: 0.8272095918655396 and parameters: {'batch_size': 128, 'filters': 11, 'kernel_size': 3, 'kernel_regularizer': None, 'bias_regularizer': 'l1', 'activation': 'relu', 'activation_dense': 'swish', 'kernel_regularizer_dense1': 'l1_l2', 'bias_regularizer_dense1': 'l1', 'kernel_regularizer_dense2': None, 'bias_regularizer_dense2': None, 'optimizer': 'nadam'}. Best is trial 12 with value: 0.9240326285362244.
Trial 22 finished with value: 0.7727281451225281 and parameters: {'batch_size': 128, 'filters': 13, 'kernel_size': 5, 'kernel_regularizer': None, 'bias_regularizer': 'l1', 'activation': 'relu', 'activation_dense': 'sigmoid', 'kernel_regularizer_dense1': 'l1_l2', 'bias_regularizer_dense1': 'l1', 'kernel_regularizer_dense2': None, 'bias_regularizer_dense2': 'l1_l2', 'optimizer': 'adam'}. Best is trial 12 with value: 0.9240326285362244.
Trial 23 finished with value: 0.5640177428722382 and parameters: {'batch_size': 128, 'filters': 8, 'kernel_size': 5, 'kernel_regularizer': None, 'bias_regularizer': 'l1', 'activation': 'relu', 'activation_dense': 'swish', 'kernel_regularizer_dense1': 'l1_l2', 'bias_regularizer_dense1': 'l1_l2', 'kernel_regularizer_dense2': None, 'bias_regularizer_dense2': 'l1', 'optimizer': 'adam'}. Best is trial 12 with value: 0.9240326285362244.
Trial 24 finished with value: 0.9353292286396027 and parameters: {'batch_size': 128, 'filters': 14, 'kernel_size': 5, 'kernel_regularizer': None, 'bias_regularizer': 'l1', 'activation': 'relu', 'activation_dense': 'swish', 'kernel_regularizer_dense1': 'l1_l2', 'bias_regularizer_dense1': None, 'kernel_regularizer_dense2': 'l1_l2', 'bias_regularizer_dense2': 'l1', 'optimizer': 'adam'}. Best is trial 24 with value: 0.9353292286396027.
Trial 25 finished with value: 0.5574430078268051 and parameters: {'batch_size': 128, 'filters': 15, 'kernel_size': 4, 'kernel_regularizer': None, 'bias_regularizer': 'l1_l2', 'activation': 'relu', 'activation_dense': 'swish', 'kernel_regularizer_dense1': 'l1_l2', 'bias_regularizer_dense1': None, 'kernel_regularizer_dense2': 'l1_l2', 'bias_regularizer_dense2': 'l1', 'optimizer': 'adam'}. Best is trial 24 with value: 0.9353292286396027.
Trial 26 finished with value: 0.8013783395290375 and parameters: {'batch_size': 128, 'filters': 14, 'kernel_size': 5, 'kernel_regularizer': None, 'bias_regularizer': 'l1', 'activation': 'relu', 'activation_dense': 'swish', 'kernel_regularizer_dense1': None, 'bias_regularizer_dense1': None, 'kernel_regularizer_dense2': 'l1_l2', 'bias_regularizer_dense2': 'l1', 'optimizer': 'adam'}. Best is trial 24 with value: 0.9353292286396027.
Trial 27 finished with value: 0.6867723762989044 and parameters: {'batch_size': 256, 'filters': 12, 'kernel_size': 5, 'kernel_regularizer': None, 'bias_regularizer': None, 'activation': 'relu', 'activation_dense': 'swish', 'kernel_regularizer_dense1': 'l1_l2', 'bias_regularizer_dense1': 'l1', 'kernel_regularizer_dense2': None, 'bias_regularizer_dense2': 'l1', 'optimizer': 'adam'}. Best is trial 24 with value: 0.9353292286396027.
Trial 28 finished with value: 0.5726307928562164 and parameters: {'batch_size': 128, 'filters': 14, 'kernel_size': 5, 'kernel_regularizer': 'l1', 'bias_regularizer': 'l1', 'activation': 'relu', 'activation_dense': 'swish', 'kernel_regularizer_dense1': 'l1_l2', 'bias_regularizer_dense1': None, 'kernel_regularizer_dense2': None, 'bias_regularizer_dense2': 'l1', 'optimizer': 'adam'}. Best is trial 24 with value: 0.9353292286396027.
Trial 29 finished with value: 0.3803931474685669 and parameters: {'batch_size': 128, 'filters': 10, 'kernel_size': 5, 'kernel_regularizer': None, 'bias_regularizer': 'l1', 'activation': 'sigmoid', 'activation_dense': 'swish', 'kernel_regularizer_dense1': 'l1', 'bias_regularizer_dense1': 'l1', 'kernel_regularizer_dense2': None, 'bias_regularizer_dense2': 'l1', 'optimizer': 'adam'}. Best is trial 24 with value: 0.9353292286396027.
Trial 30 finished with value: 0.351732574403286 and parameters: {'batch_size': 128, 'filters': 14, 'kernel_size': 5, 'kernel_regularizer': 'l1_l2', 'bias_regularizer': 'l1', 'activation': 'relu', 'activation_dense': 'sigmoid', 'kernel_regularizer_dense1': 'l1_l2', 'bias_regularizer_dense1': 'l1_l2', 'kernel_regularizer_dense2': 'l1_l2', 'bias_regularizer_dense2': 'l1', 'optimizer': 'adam'}. Best is trial 24 with value: 0.9353292286396027.
Trial 31 finished with value: 0.36176924407482147 and parameters: {'batch_size': 128, 'filters': 9, 'kernel_size': 5, 'kernel_regularizer': 'l1_l2', 'bias_regularizer': 'l1', 'activation': 'relu', 'activation_dense': 'sigmoid', 'kernel_regularizer_dense1': 'l1_l2', 'bias_regularizer_dense1': 'l1', 'kernel_regularizer_dense2': None, 'bias_regularizer_dense2': 'l1', 'optimizer': 'nadam'}. Best is trial 24 with value: 0.9353292286396027.
Trial 32 finished with value: 0.5235308259725571 and parameters: {'batch_size': 256, 'filters': 11, 'kernel_size': 4, 'kernel_regularizer': None, 'bias_regularizer': 'l1', 'activation': 'swish', 'activation_dense': 'swish', 'kernel_regularizer_dense1': 'l1_l2', 'bias_regularizer_dense1': 'l1', 'kernel_regularizer_dense2': None, 'bias_regularizer_dense2': 'l1', 'optimizer': 'nadam'}. Best is trial 24 with value: 0.9353292286396027.
Trial 33 finished with value: 0.9334000945091248 and parameters: {'batch_size': 128, 'filters': 15, 'kernel_size': 5, 'kernel_regularizer': None, 'bias_regularizer': 'l1', 'activation': 'relu', 'activation_dense': 'swish', 'kernel_regularizer_dense1': 'l1_l2', 'bias_regularizer_dense1': 'l1', 'kernel_regularizer_dense2': 'l1', 'bias_regularizer_dense2': 'l1', 'optimizer': 'adam'}. Best is trial 24 with value: 0.9353292286396027.
Trial 34 finished with value: 0.9181203544139862 and parameters: {'batch_size': 128, 'filters': 15, 'kernel_size': 4, 'kernel_regularizer': None, 'bias_regularizer': 'l1', 'activation': 'relu', 'activation_dense': 'swish', 'kernel_regularizer_dense1': 'l1_l2', 'bias_regularizer_dense1': 'l1', 'kernel_regularizer_dense2': 'l1', 'bias_regularizer_dense2': 'l1', 'optimizer': 'adam'}. Best is trial 24 with value: 0.9353292286396027.
Trial 35 finished with value: 0.9242515563964844 and parameters: {'batch_size': 128, 'filters': 14, 'kernel_size': 5, 'kernel_regularizer': None, 'bias_regularizer': 'l1', 'activation': 'swish', 'activation_dense': 'swish', 'kernel_regularizer_dense1': 'l1_l2', 'bias_regularizer_dense1': None, 'kernel_regularizer_dense2': 'l1_l2', 'bias_regularizer_dense2': None, 'optimizer': 'adam'}. Best is trial 24 with value: 0.9353292286396027.
Trial 36 finished with value: 0.6420242786407471 and parameters: {'batch_size': 128, 'filters': 11, 'kernel_size': 5, 'kernel_regularizer': None, 'bias_regularizer': 'l1', 'activation': 'swish', 'activation_dense': 'swish', 'kernel_regularizer_dense1': 'l1_l2', 'bias_regularizer_dense1': None, 'kernel_regularizer_dense2': 'l1_l2', 'bias_regularizer_dense2': None, 'optimizer': 'adam'}. Best is trial 24 with value: 0.9353292286396027.
Trial 37 finished with value: 0.42107442021369934 and parameters: {'batch_size': 256, 'filters': 14, 'kernel_size': 5, 'kernel_regularizer': 'l1', 'bias_regularizer': 'l1', 'activation': 'swish', 'activation_dense': 'swish', 'kernel_regularizer_dense1': 'l1_l2', 'bias_regularizer_dense1': 'l1', 'kernel_regularizer_dense2': 'l1', 'bias_regularizer_dense2': 'l1', 'optimizer': 'adam'}. Best is trial 24 with value: 0.9353292286396027.
Trial 38 finished with value: 0.41546357423067093 and parameters: {'batch_size': 128, 'filters': 14, 'kernel_size': 3, 'kernel_regularizer': None, 'bias_regularizer': 'l1', 'activation': 'relu', 'activation_dense': 'sigmoid', 'kernel_regularizer_dense1': 'l1_l2', 'bias_regularizer_dense1': None, 'kernel_regularizer_dense2': 'l1', 'bias_regularizer_dense2': 'l1', 'optimizer': 'adam'}. Best is trial 24 with value: 0.9353292286396027.
Trial 39 finished with value: 0.6687836349010468 and parameters: {'batch_size': 128, 'filters': 15, 'kernel_size': 5, 'kernel_regularizer': None, 'bias_regularizer': None, 'activation': 'relu', 'activation_dense': 'swish', 'kernel_regularizer_dense1': 'l1_l2', 'bias_regularizer_dense1': 'l1_l2', 'kernel_regularizer_dense2': 'l1', 'bias_regularizer_dense2': 'l1', 'optimizer': 'adam'}. Best is trial 24 with value: 0.9353292286396027.
Trial 40 finished with value: 0.3898914158344269 and parameters: {'batch_size': 128, 'filters': 13, 'kernel_size': 5, 'kernel_regularizer': None, 'bias_regularizer': None, 'activation': 'relu', 'activation_dense': 'sigmoid', 'kernel_regularizer_dense1': 'l1_l2', 'bias_regularizer_dense1': 'l1_l2', 'kernel_regularizer_dense2': 'l1_l2', 'bias_regularizer_dense2': 'l1_l2', 'optimizer': 'nadam'}. Best is trial 24 with value: 0.9353292286396027.
Trial 41 finished with value: 0.4873833656311035 and parameters: {'batch_size': 128, 'filters': 10, 'kernel_size': 5, 'kernel_regularizer': None, 'bias_regularizer': 'l1', 'activation': 'swish', 'activation_dense': 'sigmoid', 'kernel_regularizer_dense1': 'l1_l2', 'bias_regularizer_dense1': 'l1', 'kernel_regularizer_dense2': 'l1', 'bias_regularizer_dense2': 'l1', 'optimizer': 'adam'}. Best is trial 24 with value: 0.9353292286396027.
Trial 42 finished with value: 0.5450678914785385 and parameters: {'batch_size': 128, 'filters': 15, 'kernel_size': 5, 'kernel_regularizer': 'l1_l2', 'bias_regularizer': 'l1', 'activation': 'swish', 'activation_dense': 'swish', 'kernel_regularizer_dense1': 'l1_l2', 'bias_regularizer_dense1': None, 'kernel_regularizer_dense2': 'l1_l2', 'bias_regularizer_dense2': 'l1', 'optimizer': 'adam'}. Best is trial 24 with value: 0.9353292286396027.
Trial 43 finished with value: 0.8391866087913513 and parameters: {'batch_size': 128, 'filters': 13, 'kernel_size': 5, 'kernel_regularizer': None, 'bias_regularizer': None, 'activation': 'relu', 'activation_dense': 'relu', 'kernel_regularizer_dense1': 'l1_l2', 'bias_regularizer_dense1': 'l1', 'kernel_regularizer_dense2': 'l1_l2', 'bias_regularizer_dense2': None, 'optimizer': 'adam'}. Best is trial 24 with value: 0.9353292286396027.
Trial 44 finished with value: 0.9430480003356934 and parameters: {'batch_size': 128, 'filters': 12, 'kernel_size': 5, 'kernel_regularizer': None, 'bias_regularizer': 'l1', 'activation': 'relu', 'activation_dense': 'swish', 'kernel_regularizer_dense1': 'l1', 'bias_regularizer_dense1': 'l1', 'kernel_regularizer_dense2': 'l1', 'bias_regularizer_dense2': None, 'optimizer': 'adam'}. Best is trial 44 with value: 0.9430480003356934.
Trial 45 finished with value: 0.7142345011234283 and parameters: {'batch_size': 128, 'filters': 13, 'kernel_size': 5, 'kernel_regularizer': None, 'bias_regularizer': None, 'activation': 'relu', 'activation_dense': 'swish', 'kernel_regularizer_dense1': 'l1_l2', 'bias_regularizer_dense1': 'l1_l2', 'kernel_regularizer_dense2': None, 'bias_regularizer_dense2': None, 'optimizer': 'nadam'}. Best is trial 44 with value: 0.9430480003356934.
Trial 46 finished with value: 0.9303821921348572 and parameters: {'batch_size': 256, 'filters': 12, 'kernel_size': 5, 'kernel_regularizer': None, 'bias_regularizer': 'l1', 'activation': 'relu', 'activation_dense': 'swish', 'kernel_regularizer_dense1': 'l1', 'bias_regularizer_dense1': 'l1', 'kernel_regularizer_dense2': 'l1', 'bias_regularizer_dense2': None, 'optimizer': 'adam'}. Best is trial 44 with value: 0.9430480003356934.
Trial 47 finished with value: 0.44517485052347183 and parameters: {'batch_size': 256, 'filters': 11, 'kernel_size': 4, 'kernel_regularizer': None, 'bias_regularizer': 'l1', 'activation': 'relu', 'activation_dense': 'swish', 'kernel_regularizer_dense1': 'l1', 'bias_regularizer_dense1': 'l1', 'kernel_regularizer_dense2': 'l1', 'bias_regularizer_dense2': None, 'optimizer': 'adam'}. Best is trial 44 with value: 0.9430480003356934.
Trial 48 finished with value: 0.9082863926887512 and parameters: {'batch_size': 128, 'filters': 14, 'kernel_size': 5, 'kernel_regularizer': 'l1', 'bias_regularizer': None, 'activation': 'relu', 'activation_dense': 'swish', 'kernel_regularizer_dense1': 'l1', 'bias_regularizer_dense1': 'l1', 'kernel_regularizer_dense2': 'l1', 'bias_regularizer_dense2': None, 'optimizer': 'adam'}. Best is trial 44 with value: 0.9430480003356934.
Trial 49 finished with value: 0.5827291905879974 and parameters: {'batch_size': 128, 'filters': 14, 'kernel_size': 5, 'kernel_regularizer': None, 'bias_regularizer': 'l1', 'activation': 'relu', 'activation_dense': 'sigmoid', 'kernel_regularizer_dense1': 'l1', 'bias_regularizer_dense1': 'l1', 'kernel_regularizer_dense2': 'l1', 'bias_regularizer_dense2': None, 'optimizer': 'adam'}. Best is trial 44 with value: 0.9430480003356934.
Trial 50 finished with value: 0.43466709554195404 and parameters: {'batch_size': 256, 'filters': 12, 'kernel_size': 5, 'kernel_regularizer': None, 'bias_regularizer': 'l1', 'activation': 'swish', 'activation_dense': 'swish', 'kernel_regularizer_dense1': 'l1', 'bias_regularizer_dense1': 'l1', 'kernel_regularizer_dense2': 'l1', 'bias_regularizer_dense2': None, 'optimizer': 'nadam'}. Best is trial 44 with value: 0.9430480003356934.
Trial 51 finished with value: 0.622273325920105 and parameters: {'batch_size': 256, 'filters': 15, 'kernel_size': 5, 'kernel_regularizer': None, 'bias_regularizer': 'l1', 'activation': 'relu', 'activation_dense': 'swish', 'kernel_regularizer_dense1': None, 'bias_regularizer_dense1': 'l1', 'kernel_regularizer_dense2': 'l1', 'bias_regularizer_dense2': None, 'optimizer': 'adam'}. Best is trial 44 with value: 0.9430480003356934.
Trial 52 finished with value: 0.48310573399066925 and parameters: {'batch_size': 128, 'filters': 12, 'kernel_size': 5, 'kernel_regularizer': 'l1_l2', 'bias_regularizer': 'l1', 'activation': 'relu', 'activation_dense': 'swish', 'kernel_regularizer_dense1': 'l1', 'bias_regularizer_dense1': 'l1', 'kernel_regularizer_dense2': 'l1_l2', 'bias_regularizer_dense2': None, 'optimizer': 'nadam'}. Best is trial 44 with value: 0.9430480003356934.
Trial 53 finished with value: 0.9402931332588196 and parameters: {'batch_size': 256, 'filters': 11, 'kernel_size': 5, 'kernel_regularizer': None, 'bias_regularizer': 'l1', 'activation': 'relu', 'activation_dense': 'relu', 'kernel_regularizer_dense1': 'l1', 'bias_regularizer_dense1': 'l1', 'kernel_regularizer_dense2': None, 'bias_regularizer_dense2': None, 'optimizer': 'adam'}. Best is trial 44 with value: 0.9430480003356934.
Trial 54 finished with value: 0.5119067877531052 and parameters: {'batch_size': 256, 'filters': 7, 'kernel_size': 5, 'kernel_regularizer': None, 'bias_regularizer': 'l1', 'activation': 'relu', 'activation_dense': 'relu', 'kernel_regularizer_dense1': 'l1', 'bias_regularizer_dense1': 'l1', 'kernel_regularizer_dense2': None, 'bias_regularizer_dense2': None, 'optimizer': 'adam'}. Best is trial 44 with value: 0.9430480003356934.
Trial 55 finished with value: 0.9263892769813538 and parameters: {'batch_size': 128, 'filters': 10, 'kernel_size': 5, 'kernel_regularizer': None, 'bias_regularizer': 'l1', 'activation': 'swish', 'activation_dense': 'swish', 'kernel_regularizer_dense1': 'l1', 'bias_regularizer_dense1': 'l1_l2', 'kernel_regularizer_dense2': 'l1', 'bias_regularizer_dense2': None, 'optimizer': 'adam'}. Best is trial 44 with value: 0.9430480003356934.
Trial 56 finished with value: 0.9360641539096832 and parameters: {'batch_size': 128, 'filters': 10, 'kernel_size': 5, 'kernel_regularizer': None, 'bias_regularizer': 'l1', 'activation': 'swish', 'activation_dense': 'swish', 'kernel_regularizer_dense1': 'l1', 'bias_regularizer_dense1': 'l1_l2', 'kernel_regularizer_dense2': 'l1', 'bias_regularizer_dense2': 'l1_l2', 'optimizer': 'adam'}. Best is trial 44 with value: 0.9430480003356934.
Trial 57 finished with value: 0.382597416639328 and parameters: {'batch_size': 256, 'filters': 12, 'kernel_size': 5, 'kernel_regularizer': 'l1', 'bias_regularizer': 'l1', 'activation': 'relu', 'activation_dense': 'relu', 'kernel_regularizer_dense1': 'l1', 'bias_regularizer_dense1': 'l1', 'kernel_regularizer_dense2': None, 'bias_regularizer_dense2': 'l1_l2', 'optimizer': 'adam'}. Best is trial 44 with value: 0.9430480003356934.
Trial 58 finished with value: 0.6356061398983002 and parameters: {'batch_size': 256, 'filters': 10, 'kernel_size': 5, 'kernel_regularizer': None, 'bias_regularizer': 'l1', 'activation': 'swish', 'activation_dense': 'swish', 'kernel_regularizer_dense1': 'l1', 'bias_regularizer_dense1': 'l1_l2', 'kernel_regularizer_dense2': 'l1_l2', 'bias_regularizer_dense2': 'l1_l2', 'optimizer': 'adam'}. Best is trial 44 with value: 0.9430480003356934.
Trial 59 finished with value: 0.5185760706663132 and parameters: {'batch_size': 128, 'filters': 13, 'kernel_size': 5, 'kernel_regularizer': 'l1_l2', 'bias_regularizer': 'l1', 'activation': 'relu', 'activation_dense': 'swish', 'kernel_regularizer_dense1': 'l1', 'bias_regularizer_dense1': 'l1', 'kernel_regularizer_dense2': 'l1', 'bias_regularizer_dense2': 'l1_l2', 'optimizer': 'adam'}. Best is trial 44 with value: 0.9430480003356934.
